subscriptionReferenceNumber,productLanguage,productStatus,subscriptionType,groupName,quantity,seats,packSize,subscriptionStatus,lastPurchaseDate,startDate,endDate,description,productLine,productLineCode,solutionDivision,release,deployment,licensingModel,subscriptionLevel,switchType,switchYear,opportunityNumber,licenseType,activationType,programType,contract.number,contract.startDate,contract.endDate,contract.term,contract.billingBehavior,contract.subType,contract.renewalCounter,ews.adoptionHealth.currentMonth,ews.adoptionHealth.bimonthly1,ews.adoptionHealth.bimonthly2,ews.adoptionHealth.bimonthly3,ews.adoptionHealth.bimonthly4,ews.adoptionHealth.bimonthly5,ews.adoptionHealth.bimonthly6,ews.adoptionHealth.bimonthly7,ews.adoptionHealth.bimonthly8,ews.adoptionHealth.bimonthly9,ews.adoptionHealth.bimonthly10,ews.onboardingHealth.health,ews.onboardingHealth.score,ews.onboardingHealth.accessDriver,ews.onboardingHealth.discoveryDriver,ews.onboardingHealth.productUtilizationScoreDriver,ews.onboardingHealth.supportDriver,ews.retentionHealth.score,ews.retentionHealth.riskBand,ews.retentionHealth.customerProfileScoreDriver,ews.retentionHealth.productUtilizationDriver,ews.retentionHealth.productProfileScoreDriver,ews.retentionHealth.subscriptionEngagementScoreDriver,accounts.soldTo.csn,accounts.soldTo.name,accounts.reseller.csn,accounts.reseller.name,accounts.reseller.localLanguageName,accounts.reseller.type,accounts.reseller.address1,accounts.reseller.address2,accounts.reseller.address3,accounts.reseller.city,accounts.reseller.stateProvince,accounts.reseller.postalCode,accounts.reseller.country,accounts.nurtureReseller.csn,accounts.nurtureReseller.name,accounts.nurtureReseller.lockdate,accounts.nurtureReseller.nurtureDiscountEligibility,endCustomer.account.endCustomerCsn,endCustomer.account.name,endCustomer.account.type,endCustomer.account.address1,endCustomer.account.address2,endCustomer.account.address3,endCustomer.account.city,endCustomer.account.stateProvince,endCustomer.account.postalCode,endCustomer.account.country,endCustomer.account.individualFlag,endCustomer.account.namedAccountFlag,endCustomer.account.namedAccountGroup,endCustomer.account.parentIndustryGroup,endCustomer.account.parentIndustrySegment,endCustomer.contractManager.first,endCustomer.contractManager.last,endCustomer.contractManager.email,endCustomer.contractManager.address1,endCustomer.contractManager.address2,endCustomer.contractManager.address3,endCustomer.contractManager.city,endCustomer.contractManager.stateProvince,endCustomer.contractManager.postalCode,endCustomer.contractManager.country,endCustomer.contractManager.phone,endCustomer.contractManager.fax,endCustomer.contractManager.status,endCustomer.contractManager.portalRegistration,endCustomer.contractManager.doNotCall,endCustomer.contractManager.doNotEmail,endCustomer.contractManager.doNotMail,endCustomer.softwareCoordinator.first,endCustomer.softwareCoordinator.last,endCustomer.softwareCoordinator.email,endCustomer.softwareCoordinator.address1,endCustomer.softwareCoordinator.address2,endCustomer.softwareCoordinator.address3,endCustomer.softwareCoordinator.city,endCustomer.softwareCoordinator.stateProvince,endCustomer.softwareCoordinator.postalCode,endCustomer.softwareCoordinator.country,endCustomer.softwareCoordinator.phone,endCustomer.softwareCoordinator.fax,endCustomer.softwareCoordinator.status,endCustomer.softwareCoordinator.doNotCall,endCustomer.softwareCoordinator.doNotEmail,endCustomer.softwareCoordinator.doNotMail
563-97889063,WW,Registered,Renewable Subscription,,4,4,0,Expired,22/03/2021,28/03/2018,26/09/2019,AECCOL IC TL:SW PA AV WW ELD,Architecture Engineering & Construction Collection,AECCOL,,IC,S,TERM,GOLDA,M2S,FY18,,Crossgrade,Serial Number,M2S,1.10002E+11,28/03/2018,27/03/2022,Annual,Renewable,Silver/Gold,3,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,,0.868187026,,,,,0.868187026,Low,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5101539113,Instituto de Pensiones del Estado de Jalisco,End Customer,Magisterio 1155,,,Guadalajara,JAL,44260,Mexico,false,true,Territory,,,Rodrigo,Cervantes tamayo,rodrigo.cervantes@ipejal.gob.mx,Magisterio 1155,,,Guadalajara,JAL,44260,Mexico,5.23332E+11,,Active,Registered,false,false,true,Rodrigo,Cervantes tamayo,rodrigo.cervantes@ipejal.gob.mx,Magisterio 1155,,,Guadalajara,JAL,44260,Mexico,5.23332E+11,,Active,false,false,true
563-97889063,WW,Registered,Renewable Subscription,,4,4,0,Active,22/03/2021,27/09/2019,27/03/2022,AECCOL IC TL:SW PA AV WW ELD,Architecture Engineering & Construction Collection,AECCOL,,IC,S,TERM,GOLDA,M2S,FY18,,Crossgrade,Sign On,M2S,1.10002E+11,28/03/2018,27/03/2022,Annual,Renewable,Silver/Gold,3,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,,0.868187026,,,,,0.868187026,Low,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5101539113,Instituto de Pensiones del Estado de Jalisco,End Customer,Magisterio 1155,,,Guadalajara,JAL,44260,Mexico,false,true,Territory,,,Rodrigo,Cervantes tamayo,rodrigo.cervantes@ipejal.gob.mx,Magisterio 1155,,,Guadalajara,JAL,44260,Mexico,5.23332E+11,,Active,Registered,false,false,true,Rodrigo,Cervantes tamayo,rodrigo.cervantes@ipejal.gob.mx,Magisterio 1155,,,Guadalajara,JAL,44260,Mexico,5.23332E+11,,Active,false,false,true
563-15897339,WW,Registered,Renewable Subscription,,1,1,0,Expired,,24/08/2017,23/08/2019,Maya 2019 Non-Language Specific,Maya,MAYA,,2019,S,TERM,GOLDA,,,,Upgrade,Serial Number,,1.10002E+11,24/08/2017,23/08/2019,Annual,Renewable,Silver/Gold,1,NO LONGER SCORED,NO LONGER SCORED,NO LONGER SCORED,NO LONGER SCORED,No segment,No segment,No segment,No segment,No segment,No segment,No segment,,0.305772602,,,,,0.305772602,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,25/05/2019,false,5132603605,Aramed y Laboratorio S.A. de C.V.,End Customer,Paseo Lomas Altas 103,,,Zapopan,JAL,45129,Mexico,false,false,Territory,AEC,Buildings,Diseno,Aramed,diseno@aramedylaboratorio.com,Paseo Lomas Altas 103,,,Zapopan,JAL,45129,Mexico,5.23324E+11,,Active,Registered,false,false,true,Diseno,Aramed,diseno@aramedylaboratorio.com,Paseo Lomas Altas 103,,,Zapopan,JAL,45129,Mexico,5.23324E+11,,Active,false,false,true
712-10050668,WW,Registered,Renewable Subscription,,1,1,0,Expired,19/11/2020,04/12/2019,19/08/2020,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,,Upgrade,Serial Number,,7.121E+11,04/12/2019,03/12/2021,Annual,Renewable,Silver/Gold,1,,,,,,,,,,,,,0.428338522,,,,,0.428338522,High,,,,,5127591516,Ingram Micro Mexico S.A. de C.V,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5146256550,ABC Appraisers de Mexico S.A. de C.V.,End Customer,Manuel Acuna 2520 Despacho 207,,,Guadalajara,JAL,44600,Mexico,false,true,Territory,,,Gerardo,Lira,ing.glira@gmail.com,Manuel Acuna 2520 Despacho 207,,,Guadalajara,JAL,44600,Mexico,5.23312E+11,,Active,Registered,true,false,true,Gerardo,Lira,ing.glira@gmail.com,Manuel Acuna 2520 Despacho 207,,,Guadalajara,JAL,44600,Mexico,5.23312E+11,,Active,true,false,true
712-10050668,WW,Registered,Renewable Subscription,,1,1,0,Active,19/11/2020,20/08/2020,03/12/2021,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,,Upgrade,Sign On,,7.121E+11,04/12/2019,03/12/2021,Annual,Renewable,Silver/Gold,1,,,,,,,,,,,,,0.428338522,,,,,0.428338522,High,,,,,5127591516,Ingram Micro Mexico S.A. de C.V,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5146256550,ABC Appraisers de Mexico S.A. de C.V.,End Customer,Manuel Acuna 2520 Despacho 207,,,Guadalajara,JAL,44600,Mexico,false,true,Territory,,,Gerardo,Lira,ing.glira@gmail.com,Manuel Acuna 2520 Despacho 207,,,Guadalajara,JAL,44600,Mexico,5.23312E+11,,Active,Registered,true,false,true,Gerardo,Lira,ing.glira@gmail.com,Manuel Acuna 2520 Despacho 207,,,Guadalajara,JAL,44600,Mexico,5.23312E+11,,Active,true,false,true
568-71436531,WW,Registered,Renewable Subscription,,1,1,0,Active,25/03/2020,25/03/2020,24/03/2021,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,A-13370959,New,Sign On,,1.10003E+11,25/03/2020,24/03/2021,Annual,Renewable,Silver/Gold,,,,,,,,,,,,,,0.481563486,,,,,0.481563486,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,24/12/2020,false,5143908339,Sijara International Manufacturing,End Customer,Campos Eliseos 345 Piso 11 Of 1102,,,Cdmx,DF,11560,Mexico,false,true,Territory,,,Alvaro,Guerrero,alvaro.guerrero@tihs.ch,Campos Eliseos 345 Piso 11 Of 1102,,,Cdmx,DF,11560,Mexico,,,Active,Active,false,false,true,Alvaro,Guerrero,alvaro.guerrero@tihs.ch,Campos Eliseos 345 Piso 11 Of 1102,,,Cdmx,DF,11560,Mexico,,,Active,false,false,true
568-43249618,WW,Registered,Renewable Subscription,,1,1,0,Active,14/12/2020,04/03/2020,25/12/2021,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,A-13300243,New,Sign On,,1.10002E+11,26/12/2016,25/12/2021,Annual,Renewable,Silver/Gold,4,Growing,Disengaging alarming,Stable mid,Disengaging alarming,Stable mid,Stable mid,Disengaging alarming,Disengaging alarming,Stable mid,Stable mid,Stable mid,,0.787978141,,,,,0.787978141,Medium,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,26/09/2021,false,5113901083,Grupo Rasch,End Customer,Pedro Simon la Place 5753 2,Fracc Arboledas,,Zapopan,JAL,45070,Mexico,false,true,Territory,,,Grupo,Rasch,webmaster@rasch.com.mx,Pedro Simon la Place 5753 2,Fracc Arboledas,,Zapopan,JAL,45070,Mexico,556101011,,Active,Registered,false,false,false,Grupo,Rasch,webmaster@rasch.com.mx,Pedro Simon la Place 5753 2,Fracc Arboledas,,Zapopan,JAL,45070,Mexico,556101011,,Active,false,false,false
568-19948436,WW,Registered,Renewable Subscription,,1,1,0,Expired,31/01/2020,31/01/2020,30/01/2021,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,A-13009766,New,Sign On,,1.10003E+11,31/01/2020,30/01/2021,Annual,Renewable,Silver/Gold,,NO LONGER SCORED,NO LONGER SCORED,NO LONGER SCORED,No segment,No segment,No segment,No segment,No segment,No segment,No segment,No segment,,0.772811591,,,,,0.772811591,Medium,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,01/11/2020,false,5080264321,Laboratorios Pisa S.A. de C.V.,End Customer,Av Espana 1840,,,Guadalajara,JAL,44190,Mexico,false,true,Territory,MFG,Process Manufacturing,Sandra,Gonzalez Gonzalez,sgonzalez@corpcab.com.mx,Av Espana 1840,Moderna,,Guadalajara,JAL,44190,Mexico,5.23337E+11,,Active,Registered,false,false,true,Sandra,Gonzalez Gonzalez,sgonzalez@corpcab.com.mx,Av Espana 1840,Moderna,,Guadalajara,JAL,44190,Mexico,5.23337E+11,,Active,false,false,true
568-20236862,WW,Registered,Renewable Subscription,,1,1,0,Expired,31/01/2020,31/01/2020,22/02/2021,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,,Crossgrade,Sign On,,1.10002E+11,23/02/2018,22/02/2021,Annual,Renewable,Silver/Gold,2,Stable high,Stable high,Stable high,Highly engaged,Stable high,Stable high,Highly engaged,Highly engaged,Highly engaged,No use,Stable high,,0,,,,,0,,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,24/11/2020,false,5134994129,Industrias Avanzadas de Occidente S,End Customer,Av del Cobre 2,Col el Castil,,El Salto,JAL,45680,Mexico,false,false,Territory,,,Jesus,Velasco,rhernandez@iao.com.mx,Av del Cobre 2,Col el Castil,,El Salto,JAL,45680,Mexico,36889747,,Active,Registered,false,false,false,Jesus,Velasco,rhernandez@iao.com.mx,Av del Cobre 2,Col el Castil,,El Salto,JAL,45680,Mexico,36889747,,Active,false,false,false
567-66697416,WW,Registered,Renewable Subscription,,1,1,0,Active,10/11/2020,12/11/2019,09/11/2021,AutoCAD LT 2020 Non-Language Specific,AutoCAD LT,ACDLT,,2020,S,TERM,GOLDA,,,,New,Sign On,,1.10001E+11,10/11/2015,09/11/2021,Annual,Renewable,Silver/Gold,5,Disengaging alarming,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,,0.272097359,,,,,0.272097359,Very High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5124762233,Grupo Muesti S.A. de C.V.,End Customer,Av Adolfo Lopez Mateos 2290,Ciudad del Sol,,Zapopan,JAL,11000,Mexico,false,true,Territory,AEC,Buildings,Adalberto,Ramos,adalberto.ramos@tuttopelle.mx,Av Adolfo Lopez Mateos 2290,Ciudad del Sol,,Zapopan,JAL,11000,Mexico,5.23348E+11,,Active,Registered,true,false,true,Adalberto,Ramos,adalberto.ramos@tuttopelle.mx,Av Adolfo Lopez Mateos 2290,Ciudad del Sol,,Zapopan,JAL,11000,Mexico,5.23348E+11,,Active,true,false,true
